name,description,longitude,latitude,altitude
1,fast food,32.6131356,41.1965435,0
1,fast food,32.660543,41.219468,0
1,fast food,32.6707598,41.2181807,0
1,fast food,32.6635763,41.2173826,0
1,fast food,32.6588532,41.2180367,0
1,fast food,32.6624627,41.2180136,0
1,fast food,32.6446309,41.194696,0
1,fast food,32.6634118,41.2174212,0
1,fast food,32.6634551,41.2182079,0
1,fast food,32.6566245,41.217643,0
1,fast food,32.6621547,41.2180376,0
1,fast food,32.6648795,41.2183597,0
1,fast food,32.6502078,41.2196335,0
1,fast food,32.667167,41.221597,0
1,fast food,32.6206506,41.2097536,0
1,fast food,32.6263952,41.2064964,0
1,fast food,32.6688446984182,41.218061797521,0
1,fast food,32.6665911,41.2194574,0
1,fast food,32.6626268,41.2180268,0
1,fast food,32.609241,41.193249,0
1,fast food,32.678023,41.249773,0
1,fast food,32.6606356,41.2190449,0
1,fast food,32.617446,41.1777049,0
1,fast food,32.6184772,41.1941865,0
1,fast food,32.626731,41.2063739,0
1,fast food,32.6161946,41.1935766,0
1,fast food,32.6176485,41.1957146,0
1,fast food,32.6265641,41.206069,0
1,fast food,32.692299,41.2439962,0
1,fast food,32.660343,41.218554,0
1,fast food,32.6155264,41.193535,0
1,fast food,32.6596734,41.2171312,0
1,fast food,32.636107,41.206843,0
1,fast food,32.6818766,41.248062,0
1,fast food,32.6174804,41.1964459,0
1,fast food,32.6818781,41.2480655,0
1,fast food,32.659512,41.217491,0
1,fast food,32.6158547,41.2085452,0
1,fast food,32.6169771,41.1966072,0
1,fast food,32.6612947,41.2213273,0
1,fast food,32.611362,41.197347,0
1,fast food,32.6165963,41.1954643,0
1,fast food,32.672538,41.2204978,0
1,fast food,32.615409,41.196427,0
1,fast food,32.6729647,41.2125316,0
1,fast food,32.6708843,41.2182966,0
1,fast food,32.6661559,41.2262774,0
1,fast food,32.618429,41.197295,0
1,fast food,32.6619149,41.2178418,0
1,fast food,32.6694415,41.2180142,0
1,fast food,32.6827273,41.2496437,0
1,fast food,32.6511858,41.220025,0
1,fast food,32.6211496,41.2092356,0
1,fast food,32.6138671,41.1930837,0
1,fast food,32.678673,41.253189,0
1,fast food,32.626465,41.2062903,0
1,fast food,32.6649119,41.225554,0
1,fast food,32.6202618,41.208763,0
1,fast food,32.6828801,41.2485867,0
1,fast food,32.6181374,41.1940828,0
1,fast food,32.611251,41.1968,0
1,fast food,32.6635072,41.2181682,0
1,fast food,32.682092,41.248441,0
1,fast food,32.6646481,41.2179352,0
1,fast food,32.6836456,41.2495589,0
1,fast food,32.611642,41.1963618,0
1,fast food,32.6209218,41.2100818,0
1,fast food,32.6708744,41.2426838,0
1,fast food,32.6123646,41.1963773,0
1,fast food,32.6151248,41.189871,0
1,fast food,32.6152305,41.1899305,0
1,fast food,32.6266203,41.2058624,0
1,fast food,32.6530955,41.2344707,0
1,fast food,32.6205768,41.2089301,0
1,fast food,32.6827837,41.2485966,0
1,fast food,32.6678532,41.2152507,0
1,fast food,32.5990309,41.188332,0
1,fast food,32.6183133,41.1942041,0
1,fast food,32.667743,41.2220502,0
1,fast food,32.6557973,41.2269874,0
1,fast food,32.6148083,41.196008,0
1,fast food,32.6757475,41.2445271,0
1,fast food,32.661842,41.218095,0
1,fast food,32.6936844,41.2128858,0
1,fast food,32.6642153,41.2162426,0
1,fast food,32.6648336,41.1976707,0
1,fast food,32.6755749,41.2384586,0
1,fast food,32.608147,41.1999179,0
1,fast food,32.660277,41.219317,0
1,fast food,32.6162429,41.1937883,0
1,fast food,32.6562334,41.2126554,0
1,fast food,32.6192407,41.2097874,0
1,fast food,32.663908,41.2161516,0
1,fast food,32.6084519,41.1957108,0
1,fast food,32.6168241,41.1953909,0
1,fast food,32.66473,41.218142,0
1,fast food,32.6166546,41.1964343,0
1,fast food,32.662441,41.2180662,0
